State,Dates,cases,deaths,population,new_cases,new_deaths
NJ,2022-09-18,2698373,34642,8882190,0.0,0.0
NJ,2022-09-19,2710100,34679,8882190,11727.0,37.0
NJ,2022-09-20,2713103,34689,8882190,3003.0,10.0
NJ,2022-09-21,2713103,34689,8882190,0.0,0.0
NJ,2022-09-22,2719807,34700,8882190,6704.0,11.0
NJ,2022-09-23,2719807,34700,8882190,0.0,0.0
NJ,2022-09-24,2719807,34700,8882190,0.0,0.0
NJ,2022-09-25,2719807,34700,8882190,0.0,0.0
NJ,2022-09-26,2728204,34719,8882190,8397.0,19.0
NJ,2022-09-27,2730871,34725,8882190,2667.0,6.0
NJ,2022-09-28,2733395,34731,8882190,2524.0,6.0
NJ,2022-09-29,2733395,34731,8882190,0.0,0.0
NJ,2022-09-30,2738609,34744,8882190,5214.0,13.0
NJ,2022-10-01,2738609,34744,8882190,0.0,0.0
NJ,2022-10-02,2738609,34744,8882190,0.0,0.0
NJ,2022-10-03,2744045,34754,8882190,5436.0,10.0
NJ,2022-10-04,2746023,34759,8882190,1978.0,5.0
NJ,2022-10-05,2746023,34759,8882190,0.0,0.0
